origin,destination,is_same_country,measurement_id,probe_id,timestamp,distance_km,rtt_obs_ms,rtt_dir_ms,delta_ms,tier,tier_label,unexplained_inflation,transits_external,external_asns,hop_count
Guatemala,Panama,False,41460019,7528,1784299733,1350,31.7,15.5,16.2,intra_sica,Intra-SICA,False,False,,7
El Salvador,Panama,False,41460019,7650,1784299740,1180,58.0,13.8,44.2,physical_exit,Salida física confirmada,False,True,12956;1299,12
Republica Dominicana,Panama,False,41460019,7390,1784300631,1499,81.4,17.0,64.4,intra_sica,Intra-SICA,True,False,,9
Costa Rica,Panama,False,41460019,7510,1784300628,681,70.5,8.8,61.7,intra_sica,Intra-SICA,True,False,,255
Guatemala,Panama,False,41460019,7528,1784300629,1350,32.0,15.5,16.5,intra_sica,Intra-SICA,False,False,,7
El Salvador,Panama,False,41460019,7650,1784300634,1180,58.1,13.8,44.3,physical_exit,Salida física confirmada,False,True,12956;1299,12
Honduras,Panama,False,41460019,7283,1784300642,1173,28.0,13.7,14.3,external_regional,ASN externo (tránsito regional),False,True,23520,9
Republica Dominicana,Panama,False,41460019,7390,1784301537,1499,81.9,17.0,64.9,intra_sica,Intra-SICA,True,False,,9
Costa Rica,Panama,False,41460019,7510,1784301530,681,70.9,8.8,62.1,intra_sica,Intra-SICA,True,False,,255
El Salvador,Panama,False,41460019,7650,1784301535,1180,58.4,13.8,44.6,physical_exit,Salida física confirmada,False,True,12956;1299,12
Honduras,Panama,False,41460019,7283,1784301541,1173,28.2,13.7,14.5,external_regional,ASN externo (tránsito regional),False,True,23520,9
Guatemala,Panama,False,41460019,7528,1784301540,1350,31.8,15.5,16.3,intra_sica,Intra-SICA,False,False,,7
Honduras,Panama,False,41460019,7283,1784302434,1173,27.9,13.7,14.1,external_regional,ASN externo (tránsito regional),False,True,23520,9
Costa Rica,Panama,False,41460019,7510,1784302432,681,71.0,8.8,62.2,intra_sica,Intra-SICA,True,False,,255
Guatemala,Panama,False,41460019,7528,1784302428,1350,31.8,15.5,16.3,intra_sica,Intra-SICA,False,False,,7
Republica Dominicana,Panama,False,41460019,7390,1784302442,1499,81.5,17.0,64.5,intra_sica,Intra-SICA,True,False,,9
El Salvador,Panama,False,41460019,7650,1784302442,1180,58.4,13.8,44.6,physical_exit,Salida física confirmada,False,True,12956;1299,12
Honduras,Panama,False,41460019,7283,1784303336,1173,27.8,13.7,14.1,external_regional,ASN externo (tránsito regional),False,True,23520,9
Republica Dominicana,Panama,False,41460019,7390,1784303337,1499,81.5,17.0,64.5,intra_sica,Intra-SICA,True,False,,9
Costa Rica,Panama,False,41460019,7510,1784303333,681,70.6,8.8,61.8,intra_sica,Intra-SICA,True,False,,255
Guatemala,Panama,False,41460019,7528,1784303333,1350,31.8,15.5,16.3,intra_sica,Intra-SICA,False,False,,7
El Salvador,Panama,False,41460019,7650,1784303338,1180,58.0,13.8,44.2,physical_exit,Salida física confirmada,False,True,12956;1299,12
Honduras,Panama,False,41460019,7283,1784304230,1173,28.5,13.7,14.8,external_regional,ASN externo (tránsito regional),False,True,23520,9
Republica Dominicana,Panama,False,41460019,7390,1784304229,1499,82.0,17.0,65.1,intra_sica,Intra-SICA,True,False,,9
Guatemala,Panama,False,41460019,7528,1784304229,1350,31.9,15.5,16.4,intra_sica,Intra-SICA,False,False,,7
El Salvador,Panama,False,41460019,7650,1784304232,1180,58.7,13.8,44.9,physical_exit,Salida física confirmada,False,True,12956;1299,12
Costa Rica,Panama,False,41460019,7510,1784304242,681,70.3,8.8,61.5,intra_sica,Intra-SICA,True,False,,255
Costa Rica,Panama,False,41460019,7510,1784305138,681,70.5,8.8,61.7,intra_sica,Intra-SICA,True,False,,255
Guatemala,Panama,False,41460019,7528,1784305135,1350,32.8,15.5,17.2,intra_sica,Intra-SICA,False,False,,7
El Salvador,Panama,False,41460019,7650,1784305136,1180,58.4,13.8,44.6,physical_exit,Salida física confirmada,False,True,12956;1299,12
Honduras,Panama,False,41460019,7283,1784305141,1173,28.4,13.7,14.7,external_regional,ASN externo (tránsito regional),False,True,23520,9
Republica Dominicana,Panama,False,41460019,7390,1784305140,1499,82.0,17.0,65.0,intra_sica,Intra-SICA,True,False,,9
Republica Dominicana,Panama,False,41460019,7390,1784306035,1499,81.9,17.0,64.9,intra_sica,Intra-SICA,True,False,,9
Costa Rica,Panama,False,41460019,7510,1784306032,681,71.2,8.8,62.4,intra_sica,Intra-SICA,True,False,,255
Guatemala,Panama,False,41460019,7528,1784306035,1350,31.9,15.5,16.4,intra_sica,Intra-SICA,False,False,,7
El Salvador,Panama,False,41460019,7650,1784306030,1180,58.7,13.8,44.9,physical_exit,Salida física confirmada,False,True,12956;1299,12
Honduras,Panama,False,41460019,7283,1784306040,1173,28.6,13.7,14.9,external_regional,ASN externo (tránsito regional),False,True,23520,9
Honduras,Panama,False,41460019,7283,1784306929,1173,27.7,13.7,14.0,external_regional,ASN externo (tránsito regional),False,True,23520,9
Republica Dominicana,Panama,False,41460019,7390,1784306939,1499,81.2,17.0,64.2,intra_sica,Intra-SICA,True,False,,9
Costa Rica,Panama,False,41460019,7510,1784306930,681,70.6,8.8,61.8,intra_sica,Intra-SICA,True,False,,255
El Salvador,Panama,False,41460019,7650,1784306938,1180,57.8,13.8,44.0,physical_exit,Salida física confirmada,False,True,12956;1299,12
Guatemala,Panama,False,41460019,7528,1784306940,1350,31.7,15.5,16.2,intra_sica,Intra-SICA,False,False,,7
Honduras,Panama,False,41460019,7283,1784307834,1173,28.0,13.7,14.3,external_regional,ASN externo (tránsito regional),False,True,23520,9
Costa Rica,Panama,False,41460019,7510,1784307830,681,71.0,8.8,62.2,intra_sica,Intra-SICA,True,False,,255
Guatemala,Panama,False,41460019,7528,1784307828,1350,31.7,15.5,16.2,intra_sica,Intra-SICA,False,False,,7
El Salvador,Panama,False,41460019,7650,1784307830,1180,58.0,13.8,44.2,physical_exit,Salida física confirmada,False,True,12956;1299,12
Republica Dominicana,Panama,False,41460019,7390,1784307840,1499,81.3,17.0,64.3,intra_sica,Intra-SICA,True,False,,9
Honduras,Panama,False,41460019,7283,1784308737,1173,28.1,13.7,14.4,external_regional,ASN externo (tránsito regional),False,True,23520,9
Republica Dominicana,Panama,False,41460019,7390,1784308733,1499,81.3,17.0,64.3,intra_sica,Intra-SICA,True,False,,9
Costa Rica,Panama,False,41460019,7510,1784308736,681,71.5,8.8,62.7,intra_sica,Intra-SICA,True,False,,255
Guatemala,Panama,False,41460019,7528,1784308738,1350,31.6,15.5,16.1,intra_sica,Intra-SICA,False,False,,7
El Salvador,Panama,False,41460019,7650,1784308741,1180,58.1,13.8,44.3,physical_exit,Salida física confirmada,False,True,12956;1299,12
Honduras,Panama,False,41460019,7283,1784309630,1173,27.9,13.7,14.2,external_regional,ASN externo (tránsito regional),False,True,23520,9
Republica Dominicana,Panama,False,41460019,7390,1784309632,1499,81.5,17.0,64.5,intra_sica,Intra-SICA,True,False,,9
Costa Rica,Panama,False,41460019,7510,1784309630,681,71.1,8.8,62.3,intra_sica,Intra-SICA,True,False,,255
El Salvador,Panama,False,41460019,7650,1784309638,1180,58.2,13.8,44.4,physical_exit,Salida física confirmada,False,True,12956;1299,12
Guatemala,Panama,False,41460019,7528,1784309641,1350,31.9,15.5,16.4,intra_sica,Intra-SICA,False,False,,7
Honduras,Panama,False,41460019,7283,1784310538,1173,28.1,13.7,14.3,external_regional,ASN externo (tránsito regional),False,True,23520,9
Republica Dominicana,Panama,False,41460019,7390,1784310537,1499,81.4,17.0,64.4,intra_sica,Intra-SICA,True,False,,9
Costa Rica,Panama,False,41460019,7510,1784310539,681,70.5,8.8,61.7,intra_sica,Intra-SICA,True,False,,255
Guatemala,Panama,False,41460019,7528,1784310532,1350,31.9,15.5,16.4,intra_sica,Intra-SICA,False,False,,7
El Salvador,Panama,False,41460019,7650,1784310537,1180,58.0,13.8,44.2,physical_exit,Salida física confirmada,False,True,12956;1299,12
Honduras,Panama,False,41460019,7283,1784311433,1173,27.8,13.7,14.1,external_regional,ASN externo (tránsito regional),False,True,23520,9
Republica Dominicana,Panama,False,41460019,7390,1784311433,1499,81.4,17.0,64.4,intra_sica,Intra-SICA,True,False,,9
Costa Rica,Panama,False,41460019,7510,1784311429,681,71.4,8.8,62.6,intra_sica,Intra-SICA,True,False,,255
Guatemala,Panama,False,41460019,7528,1784311434,1350,31.8,15.5,16.3,intra_sica,Intra-SICA,False,False,,7
El Salvador,Panama,False,41460019,7650,1784311433,1180,58.2,13.8,44.4,physical_exit,Salida física confirmada,False,True,12956;1299,12
Honduras,Panama,False,41460019,7283,1784312335,1173,28.0,13.7,14.3,external_regional,ASN externo (tránsito regional),False,True,23520,9
Republica Dominicana,Panama,False,41460019,7390,1784312339,1499,81.5,17.0,64.5,intra_sica,Intra-SICA,True,False,,9
Costa Rica,Panama,False,41460019,7510,1784312336,681,71.3,8.8,62.5,intra_sica,Intra-SICA,True,False,,255
Guatemala,Panama,False,41460019,7528,1784312334,1350,32.0,15.5,16.5,intra_sica,Intra-SICA,False,False,,7
El Salvador,Panama,False,41460019,7650,1784312339,1180,58.1,13.8,44.3,physical_exit,Salida física confirmada,False,True,12956;1299,12
Honduras,Panama,False,41460019,7283,1784313235,1173,28.1,13.7,14.3,external_regional,ASN externo (tránsito regional),False,True,23520,9
Republica Dominicana,Panama,False,41460019,7390,1784313230,1499,81.5,17.0,64.5,intra_sica,Intra-SICA,True,False,,9
Costa Rica,Panama,False,41460019,7510,1784313237,681,70.6,8.8,61.8,intra_sica,Intra-SICA,True,False,,255
Guatemala,Panama,False,41460019,7528,1784313237,1350,31.8,15.5,16.3,intra_sica,Intra-SICA,False,False,,7
El Salvador,Panama,False,41460019,7650,1784313229,1180,58.1,13.8,44.3,physical_exit,Salida física confirmada,False,True,12956;1299,12
Honduras,Panama,False,41460019,7283,1784314139,1173,27.8,13.7,14.1,external_regional,ASN externo (tránsito regional),False,True,23520,9
Republica Dominicana,Panama,False,41460019,7390,1784314128,1499,81.4,17.0,64.4,intra_sica,Intra-SICA,True,False,,9
Costa Rica,Panama,False,41460019,7510,1784314136,681,71.1,8.8,62.3,intra_sica,Intra-SICA,True,False,,255
Guatemala,Panama,False,41460019,7528,1784314138,1350,31.8,15.5,16.3,intra_sica,Intra-SICA,False,False,,7
El Salvador,Panama,False,41460019,7650,1784314137,1180,58.1,13.8,44.3,physical_exit,Salida física confirmada,False,True,12956;1299,12
Costa Rica,Panama,False,41460019,7510,1784315028,681,70.9,8.8,62.1,intra_sica,Intra-SICA,True,False,,255
El Salvador,Panama,False,41460019,7650,1784315030,1180,58.0,13.8,44.2,physical_exit,Salida física confirmada,False,True,12956;1299,12
Honduras,Panama,False,41460019,7283,1784315040,1173,27.9,13.7,14.1,external_regional,ASN externo (tránsito regional),False,True,23520,9
Republica Dominicana,Panama,False,41460019,7390,1784315042,1499,81.4,17.0,64.4,intra_sica,Intra-SICA,True,False,,9
Guatemala,Panama,False,41460019,7528,1784315040,1350,31.8,15.5,16.3,intra_sica,Intra-SICA,False,False,,7
Honduras,Panama,False,41460019,7283,1784315936,1173,27.9,13.7,14.2,external_regional,ASN externo (tránsito regional),False,True,23520,9
Republica Dominicana,Panama,False,41460019,7390,1784315936,1499,81.4,17.0,64.4,intra_sica,Intra-SICA,True,False,,9
Costa Rica,Panama,False,41460019,7510,1784315938,681,70.7,8.8,61.9,intra_sica,Intra-SICA,True,False,,255
Guatemala,Panama,False,41460019,7528,1784315937,1350,31.8,15.5,16.3,intra_sica,Intra-SICA,False,False,,7
El Salvador,Panama,False,41460019,7650,1784315937,1180,58.1,13.8,44.3,physical_exit,Salida física confirmada,False,True,12956;1299,12
Republica Dominicana,Panama,False,41460019,7390,1784316836,1499,81.4,17.0,64.4,intra_sica,Intra-SICA,True,False,,9
Costa Rica,Panama,False,41460019,7510,1784316838,681,71.2,8.8,62.4,intra_sica,Intra-SICA,True,False,,255
Guatemala,Panama,False,41460019,7528,1784316837,1350,31.8,15.5,16.3,intra_sica,Intra-SICA,False,False,,7
El Salvador,Panama,False,41460019,7650,1784316836,1180,58.2,13.8,44.4,physical_exit,Salida física confirmada,False,True,12956;1299,12
Honduras,Panama,False,41460019,7283,1784316841,1173,28.1,13.7,14.4,external_regional,ASN externo (tránsito regional),False,True,23520,9
Honduras,Panama,False,41460019,7283,1784317736,1173,27.2,13.7,13.5,external_regional,ASN externo (tránsito regional),False,True,23520,9
Republica Dominicana,Panama,False,41460019,7390,1784317734,1499,81.4,17.0,64.4,intra_sica,Intra-SICA,True,False,,9
Costa Rica,Panama,False,41460019,7510,1784317734,681,70.8,8.8,62.0,intra_sica,Intra-SICA,True,False,,255
El Salvador,Panama,False,41460019,7650,1784317736,1180,58.1,13.8,44.3,physical_exit,Salida física confirmada,False,True,12956;1299,12
Guatemala,Panama,False,41460019,7528,1784317742,1350,31.7,15.5,16.2,intra_sica,Intra-SICA,False,False,,7
Honduras,Panama,False,41460019,7283,1784318633,1173,32.1,13.7,18.3,external_regional,ASN externo (tránsito regional),False,True,23520,9
Republica Dominicana,Panama,False,41460019,7390,1784318633,1499,81.2,17.0,64.2,intra_sica,Intra-SICA,True,False,,9
Costa Rica,Panama,False,41460019,7510,1784318628,681,70.7,8.8,61.9,intra_sica,Intra-SICA,True,False,,255
Guatemala,Panama,False,41460019,7528,1784318634,1350,31.9,15.5,16.4,intra_sica,Intra-SICA,False,False,,7
El Salvador,Panama,False,41460019,7650,1784318633,1180,58.2,13.8,44.4,physical_exit,Salida física confirmada,False,True,12956;1299,12
Honduras,Panama,False,41460019,7283,1784319535,1173,27.4,13.7,13.6,external_regional,ASN externo (tránsito regional),False,True,23520,9
Republica Dominicana,Panama,False,41460019,7390,1784319539,1499,81.2,17.0,64.2,intra_sica,Intra-SICA,True,False,,9
Costa Rica,Panama,False,41460019,7510,1784319534,681,71.3,8.8,62.5,intra_sica,Intra-SICA,True,False,,255
Guatemala,Panama,False,41460019,7528,1784319533,1350,31.9,15.5,16.4,intra_sica,Intra-SICA,False,False,,7
El Salvador,Panama,False,41460019,7650,1784319536,1180,58.0,13.8,44.2,physical_exit,Salida física confirmada,False,True,12956;1299,12
Honduras,Panama,False,41460019,7283,1784320438,1173,27.4,13.7,13.6,external_regional,ASN externo (tránsito regional),False,True,23520,9
Republica Dominicana,Panama,False,41460019,7390,1784320436,1499,81.4,17.0,64.4,intra_sica,Intra-SICA,True,False,,9
Costa Rica,Panama,False,41460019,7510,1784320439,681,71.0,8.8,62.1,intra_sica,Intra-SICA,True,False,,255
Guatemala,Panama,False,41460019,7528,1784320429,1350,31.9,15.5,16.4,intra_sica,Intra-SICA,False,False,,7
El Salvador,Panama,False,41460019,7650,1784320439,1180,58.2,13.8,44.4,physical_exit,Salida física confirmada,False,True,12956;1299,12
Honduras,Panama,False,41460019,7283,1784321337,1173,27.3,13.7,13.6,external_regional,ASN externo (tránsito regional),False,True,23520,9
Republica Dominicana,Panama,False,41460019,7390,1784321339,1499,81.4,17.0,64.4,intra_sica,Intra-SICA,True,False,,9
Costa Rica,Panama,False,41460019,7510,1784321337,681,70.8,8.8,62.0,intra_sica,Intra-SICA,True,False,,255
El Salvador,Panama,False,41460019,7650,1784321330,1180,58.2,13.8,44.4,physical_exit,Salida física confirmada,False,True,12956;1299,12
Guatemala,Panama,False,41460019,7528,1784321341,1350,31.6,15.5,16.1,intra_sica,Intra-SICA,False,False,,7
Honduras,Panama,False,41460019,7283,1784322230,1173,27.2,13.7,13.5,external_regional,ASN externo (tránsito regional),False,True,23520,9
Republica Dominicana,Panama,False,41460019,7390,1784322237,1499,81.4,17.0,64.4,intra_sica,Intra-SICA,True,False,,9
Costa Rica,Panama,False,41460019,7510,1784322231,681,70.6,8.8,61.8,intra_sica,Intra-SICA,True,False,,255
El Salvador,Panama,False,41460019,7650,1784322229,1180,57.9,13.8,44.1,physical_exit,Salida física confirmada,False,True,12956;1299,12
Guatemala,Panama,False,41460019,7528,1784322241,1350,31.9,15.5,16.4,intra_sica,Intra-SICA,False,False,,7
Honduras,Panama,False,41460019,7283,1784323135,1173,27.4,13.7,13.6,external_regional,ASN externo (tránsito regional),False,True,23520,9
Republica Dominicana,Panama,False,41460019,7390,1784323132,1499,81.4,17.0,64.4,intra_sica,Intra-SICA,True,False,,9
El Salvador,Panama,False,41460019,7650,1784323137,1180,58.2,13.8,44.4,physical_exit,Salida física confirmada,False,True,12956;1299,12
Costa Rica,Panama,False,41460019,7510,1784323140,681,70.7,8.8,61.9,intra_sica,Intra-SICA,True,False,,255
Guatemala,Panama,False,41460019,7528,1784323142,1350,31.7,15.5,16.2,intra_sica,Intra-SICA,False,False,,7
Honduras,Panama,False,41460019,7283,1784324037,1173,26.6,13.7,12.9,external_regional,ASN externo (tránsito regional),False,True,23520,9
Republica Dominicana,Panama,False,41460019,7390,1784324036,1499,81.4,17.0,64.4,intra_sica,Intra-SICA,True,False,,9
Costa Rica,Panama,False,41460019,7510,1784324028,681,70.7,8.8,61.9,intra_sica,Intra-SICA,True,False,,255
Guatemala,Panama,False,41460019,7528,1784324030,1350,31.7,15.5,16.2,intra_sica,Intra-SICA,False,False,,7
El Salvador,Panama,False,41460019,7650,1784324039,1180,58.2,13.8,44.3,physical_exit,Salida física confirmada,False,True,12956;1299,12
Honduras,Panama,False,41460019,7283,1784324935,1173,26.9,13.7,13.2,external_regional,ASN externo (tránsito regional),False,True,23520,9
Costa Rica,Panama,False,41460019,7510,1784324938,681,71.0,8.8,62.2,intra_sica,Intra-SICA,True,False,,255
Guatemala,Panama,False,41460019,7528,1784324931,1350,32.1,15.5,16.6,intra_sica,Intra-SICA,False,False,,7
Republica Dominicana,Panama,False,41460019,7390,1784324941,1499,81.2,17.0,64.3,intra_sica,Intra-SICA,True,False,,9
El Salvador,Panama,False,41460019,7650,1784324940,1180,58.2,13.8,44.4,physical_exit,Salida física confirmada,False,True,12956;1299,12
Honduras,Panama,False,41460019,7283,1784325830,1173,26.8,13.7,13.1,external_regional,ASN externo (tránsito regional),False,True,23520,9
Republica Dominicana,Panama,False,41460019,7390,1784325837,1499,81.5,17.0,64.5,intra_sica,Intra-SICA,True,False,,9
Costa Rica,Panama,False,41460019,7510,1784325834,681,70.9,8.8,62.1,intra_sica,Intra-SICA,True,False,,255
Guatemala,Panama,False,41460019,7528,1784325838,1350,31.8,15.5,16.3,intra_sica,Intra-SICA,False,False,,7
El Salvador,Panama,False,41460019,7650,1784325841,1180,58.1,13.8,44.3,physical_exit,Salida física confirmada,False,True,12956;1299,12
Republica Dominicana,Panama,False,41460019,7390,1784326730,1499,81.3,17.0,64.3,intra_sica,Intra-SICA,True,False,,9
Costa Rica,Panama,False,41460019,7510,1784326733,681,71.4,8.8,62.6,intra_sica,Intra-SICA,True,False,,255
Guatemala,Panama,False,41460019,7528,1784326736,1350,31.9,15.5,16.4,intra_sica,Intra-SICA,False,False,,7
El Salvador,Panama,False,41460019,7650,1784326738,1180,58.1,13.8,44.3,physical_exit,Salida física confirmada,False,True,12956;1299,12
Honduras,Panama,False,41460019,7283,1784326740,1173,26.8,13.7,13.1,external_regional,ASN externo (tránsito regional),False,True,23520,9
Honduras,Panama,False,41460019,7283,1784327630,1173,26.5,13.7,12.8,external_regional,ASN externo (tránsito regional),False,True,23520,9
Costa Rica,Panama,False,41460019,7510,1784327630,681,70.5,8.8,61.7,intra_sica,Intra-SICA,True,False,,255
Guatemala,Panama,False,41460019,7528,1784327638,1350,31.7,15.5,16.2,intra_sica,Intra-SICA,False,False,,7
El Salvador,Panama,False,41460019,7650,1784327637,1180,58.1,13.8,44.3,physical_exit,Salida física confirmada,False,True,12956;1299,12
Republica Dominicana,Panama,False,41460019,7390,1784327642,1499,81.5,17.0,64.5,intra_sica,Intra-SICA,True,False,,9
Honduras,Panama,False,41460019,7283,1784328533,1173,27.0,13.7,13.2,external_regional,ASN externo (tránsito regional),False,True,23520,9
Republica Dominicana,Panama,False,41460019,7390,1784328530,1499,81.4,17.0,64.4,intra_sica,Intra-SICA,True,False,,9
Costa Rica,Panama,False,41460019,7510,1784328536,681,70.4,8.8,61.6,intra_sica,Intra-SICA,True,False,,255
Guatemala,Panama,False,41460019,7528,1784328530,1350,32.0,15.5,16.5,intra_sica,Intra-SICA,False,False,,7
El Salvador,Panama,False,41460019,7650,1784328538,1180,58.1,13.8,44.2,physical_exit,Salida física confirmada,False,True,12956;1299,12
Honduras,Panama,False,41460019,7283,1784329436,1173,26.8,13.7,13.1,external_regional,ASN externo (tránsito regional),False,True,23520,9
Republica Dominicana,Panama,False,41460019,7390,1784329434,1499,81.0,17.0,64.0,intra_sica,Intra-SICA,True,False,,9
Costa Rica,Panama,False,41460019,7510,1784329429,681,70.6,8.8,61.8,intra_sica,Intra-SICA,True,False,,255
Guatemala,Panama,False,41460019,7528,1784329429,1350,31.9,15.5,16.4,intra_sica,Intra-SICA,False,False,,7
El Salvador,Panama,False,41460019,7650,1784329437,1180,58.1,13.8,44.3,physical_exit,Salida física confirmada,False,True,12956;1299,12
Honduras,Panama,False,41460019,7283,1784330330,1173,26.9,13.7,13.2,external_regional,ASN externo (tránsito regional),False,True,23520,9
Republica Dominicana,Panama,False,41460019,7390,1784330332,1499,81.4,17.0,64.4,intra_sica,Intra-SICA,True,False,,9
Costa Rica,Panama,False,41460019,7510,1784330329,681,71.3,8.8,62.5,intra_sica,Intra-SICA,True,False,,255
Guatemala,Panama,False,41460019,7528,1784330329,1350,32.0,15.5,16.5,intra_sica,Intra-SICA,False,False,,7
